"Statistic","Year","Age Group","Sex","UNIT","VALUE"
"Population Estimates (Persons in April)","1954","20 - 24 years","Female","Thousand","91.5"
"Population Estimates (Persons in April)","1954","25 - 29 years","Both sexes","Thousand","182.2"
"Population Estimates (Persons in April)","1954","25 - 29 years","Male","Thousand","90.9"
"Population Estimates (Persons in April)","1954","25 - 29 years","Female","Thousand","91.3"
"Population Estimates (Persons in April)","1954","25 - 44 years","Both sexes","Thousand","739.7"
"Population Estimates (Persons in April)","1954","25 - 44 years","Male","Thousand","371.9"
"Population Estimates (Persons in April)","1954","25 - 44 years","Female","Thousand","367.8"
"Population Estimates (Persons in April)","1954","30 - 34 years","Both sexes","Thousand","182.8"
"Population Estimates (Persons in April)","1954","30 - 34 years","Male","Thousand","91.1"
"Population Estimates (Persons in April)","1954","30 - 34 years","Female","Thousand","91.7"
"Population Estimates (Persons in April)","1954","35 - 39 years","Both sexes","Thousand","190.6"
"Population Estimates (Persons in April)","1954","35 - 39 years","Male","Thousand","95.1"
"Population Estimates (Persons in April)","1954","35 - 39 years","Female","Thousand","95.5"
"Population Estimates (Persons in April)","1954","40 - 44 years","Both sexes","Thousand","184.1"
"Population Estimates (Persons in April)","1954","40 - 44 years","Male","Thousand","94.8"
"Population Estimates (Persons in April)","1954","40 - 44 years","Female","Thousand","89.3"
"Population Estimates (Persons in April)","1954","45 - 49 years","Both sexes","Thousand","169"
"Population Estimates (Persons in April)","1954","45 - 49 years","Male","Thousand","87"
"Population Estimates (Persons in April)","1954","45 - 49 years","Female","Thousand","82"
"Population Estimates (Persons in April)","1954","45 - 64 years","Both sexes","Thousand","586.7"
"Population Estimates (Persons in April)","1954","45 - 64 years","Male","Thousand","298.7"
"Population Estimates (Persons in April)","1954","45 - 64 years","Female","Thousand","288"
"Population Estimates (Persons in April)","1954","50 - 54 years","Both sexes","Thousand","154.4"
"Population Estimates (Persons in April)","1954","50 - 54 years","Male","Thousand","79.3"
"Population Estimates (Persons in April)","1954","50 - 54 years","Female","Thousand","75.1"
"Population Estimates (Persons in April)","1954","55 - 59 years","Both sexes","Thousand","143.6"
"Population Estimates (Persons in April)","1954","55 - 59 years","Male","Thousand","72.7"
"Population Estimates (Persons in April)","1954","55 - 59 years","Female","Thousand","70.9"
"Population Estimates (Persons in April)","1954","60 - 64 years","Both sexes","Thousand","119.7"
"Population Estimates (Persons in April)","1954","60 - 64 years","Male","Thousand","59.7"
"Population Estimates (Persons in April)","1954","60 - 64 years","Female","Thousand","60"
"Population Estimates (Persons in April)","1954","65 - 69 years","Both sexes","Thousand","109"
"Population Estimates (Persons in April)","1954","65 - 69 years","Male","Thousand","55.2"
"Population Estimates (Persons in April)","1954","65 - 69 years","Female","Thousand","53.8"
"Population Estimates (Persons in April)","1954","65 years and over","Both sexes","Thousand","318.3"
"Population Estimates (Persons in April)","1954","65 years and over","Male","Thousand","156.3"
"Population Estimates (Persons in April)","1954","65 years and over","Female","Thousand","162"
"Population Estimates (Persons in April)","1954","70 - 74 years","Both sexes","Thousand","96.3"
"Population Estimates (Persons in April)","1954","70 - 74 years","Male","Thousand","47.1"
"Population Estimates (Persons in April)","1954","70 - 74 years","Female","Thousand","49.2"
"Population Estimates (Persons in April)","1954","75 - 79 years","Both sexes","Thousand","65.8"
"Population Estimates (Persons in April)","1954","75 - 79 years","Male","Thousand","32.3"
"Population Estimates (Persons in April)","1954","75 - 79 years","Female","Thousand","33.5"
"Population Estimates (Persons in April)","1954","80 - 84 years","Both sexes","Thousand","32.1"
"Population Estimates (Persons in April)","1954","80 - 84 years","Male","Thousand","15.1"
"Population Estimates (Persons in April)","1954","80 - 84 years","Female","Thousand","17"
"Population Estimates (Persons in April)","1954","85 years and over","Both sexes","Thousand","15.1"
"Population Estimates (Persons in April)","1954","85 years and over","Male","Thousand","6.6"
"Population Estimates (Persons in April)","1954","85 years and over","Female","Thousand","8.5"
"Population Estimates (Persons in April)","1954","All ages","Both sexes","Thousand","2941.2"
"Population Estimates (Persons in April)","1954","All ages","Male","Thousand","1493"
"Population Estimates (Persons in April)","1954","All ages","Female","Thousand","1448.2"
"Population Estimates (Persons in April)","1955","Under 1 year","Both sexes","Thousand","59.3"
"Population Estimates (Persons in April)","1955","Under 1 year","Male","Thousand","30.1"
"Population Estimates (Persons in April)","1955","Under 1 year","Female","Thousand","29.2"
"Population Estimates (Persons in April)","1955","0 - 4 years","Both sexes","Thousand",""
"Population Estimates (Persons in April)","1955","0 - 4 years","Male","Thousand",""
"Population Estimates (Persons in April)","1955","0 - 4 years","Female","Thousand",""
"Population Estimates (Persons in April)","1955","0 - 14 years","Both sexes","Thousand","871"
"Population Estimates (Persons in April)","1955","0 - 14 years","Male","Thousand","444.2"
"Population Estimates (Persons in April)","1955","0 - 14 years","Female","Thousand","426.8"
"Population Estimates (Persons in April)","1955","1 - 4 years","Both sexes","Thousand","242.8"
"Population Estimates (Persons in April)","1955","1 - 4 years","Male","Thousand","123.7"
"Population Estimates (Persons in April)","1955","1 - 4 years","Female","Thousand","119.1"
"Population Estimates (Persons in April)","1955","5 - 9 years","Both sexes","Thousand","294.3"
"Population Estimates (Persons in April)","1955","5 - 9 years","Male","Thousand","150.8"
"Population Estimates (Persons in April)","1955","5 - 9 years","Female","Thousand","143.5"
"Population Estimates (Persons in April)","1955","10 - 14 years","Both sexes","Thousand","274.6"
"Population Estimates (Persons in April)","1955","10 - 14 years","Male","Thousand","139.6"
"Population Estimates (Persons in April)","1955","10 - 14 years","Female","Thousand","135"
"Population Estimates (Persons in April)","1955","15 - 19 years","Both sexes","Thousand","234.7"
"Population Estimates (Persons in April)","1955","15 - 19 years","Male","Thousand","122.4"
"Population Estimates (Persons in April)","1955","15 - 19 years","Female","Thousand","112.3"
"Population Estimates (Persons in April)","1955","15 - 24 years","Both sexes","Thousand","419"
"Population Estimates (Persons in April)","1955","15 - 24 years","Male","Thousand","217.2"
"Population Estimates (Persons in April)","1955","15 - 24 years","Female","Thousand","201.8"
"Population Estimates (Persons in April)","1955","15 years and over","Both sexes","Thousand","2049.9"
"Population Estimates (Persons in April)","1955","15 years and over","Male","Thousand","1034.9"
"Population Estimates (Persons in April)","1955","15 years and over","Female","Thousand","1015"
"Population Estimates (Persons in April)","1955","20 - 24 years","Both sexes","Thousand","184.3"
"Population Estimates (Persons in April)","1955","20 - 24 years","Male","Thousand","94.8"
"Population Estimates (Persons in April)","1955","20 - 24 years","Female","Thousand","89.5"
"Population Estimates (Persons in April)","1955","25 - 29 years","Both sexes","Thousand","176.1"
"Population Estimates (Persons in April)","1955","25 - 29 years","Male","Thousand","87.5"
"Population Estimates (Persons in April)","1955","25 - 29 years","Female","Thousand","88.6"
"Population Estimates (Persons in April)","1955","25 - 44 years","Both sexes","Thousand","725.8"
"Population Estimates (Persons in April)","1955","25 - 44 years","Male","Thousand","362.8"
"Population Estimates (Persons in April)","1955","25 - 44 years","Female","Thousand","363"
"Population Estimates (Persons in April)","1955","30 - 34 years","Both sexes","Thousand","179"
"Population Estimates (Persons in April)","1955","30 - 34 years","Male","Thousand","88.7"
"Population Estimates (Persons in April)","1955","30 - 34 years","Female","Thousand","90.3"
"Population Estimates (Persons in April)","1955","35 - 39 years","Both sexes","Thousand","186.2"
"Population Estimates (Persons in April)","1955","35 - 39 years","Male","Thousand","92.1"
"Population Estimates (Persons in April)","1955","35 - 39 years","Female","Thousand","94.1"
"Population Estimates (Persons in April)","1955","40 - 44 years","Both sexes","Thousand","184.5"
"Population Estimates (Persons in April)","1955","40 - 44 years","Male","Thousand","94.5"
"Population Estimates (Persons in April)","1955","40 - 44 years","Female","Thousand","90"
"Population Estimates (Persons in April)","1955","45 - 49 years","Both sexes","Thousand","170.3"
"Population Estimates (Persons in April)","1955","45 - 49 years","Male","Thousand","87.9"
"Population Estimates (Persons in April)","1955","45 - 49 years","Female","Thousand","82.4"
"Population Estimates (Persons in April)","1955","45 - 64 years","Both sexes","Thousand","587.4"
"Population Estimates (Persons in April)","1955","45 - 64 years","Male","Thousand","299.1"
"Population Estimates (Persons in April)","1955","45 - 64 years","Female","Thousand","288.3"
"Population Estimates (Persons in April)","1955","50 - 54 years","Both sexes","Thousand","150.9"
"Population Estimates (Persons in April)","1955","50 - 54 years","Male","Thousand","77.6"
"Population Estimates (Persons in April)","1955","50 - 54 years","Female","Thousand","73.3"
"Population Estimates (Persons in April)","1955","55 - 59 years","Both sexes","Thousand","147.8"
"Population Estimates (Persons in April)","1955","55 - 59 years","Male","Thousand","74.8"
"Population Estimates (Persons in April)","1955","55 - 59 years","Female","Thousand","73"
"Population Estimates (Persons in April)","1955","60 - 64 years","Both sexes","Thousand","118.4"
"Population Estimates (Persons in April)","1955","60 - 64 years","Male","Thousand","58.8"
"Population Estimates (Persons in April)","1955","60 - 64 years","Female","Thousand","59.6"
"Population Estimates (Persons in April)","1955","65 - 69 years","Both sexes","Thousand","109"
"Population Estimates (Persons in April)","1955","65 - 69 years","Male","Thousand","55.2"
"Population Estimates (Persons in April)","1955","65 - 69 years","Female","Thousand","53.8"
"Population Estimates (Persons in April)","1955","65 years and over","Both sexes","Thousand","317.7"
"Population Estimates (Persons in April)","1955","65 years and over","Male","Thousand","155.8"
"Population Estimates (Persons in April)","1955","65 years and over","Female","Thousand","161.9"
"Population Estimates (Persons in April)","1955","70 - 74 years","Both sexes","Thousand","94.7"
"Population Estimates (Persons in April)","1955","70 - 74 years","Male","Thousand","46.2"
"Population Estimates (Persons in April)","1955","70 - 74 years","Female","Thousand","48.5"
"Population Estimates (Persons in April)","1955","75 - 79 years","Both sexes","Thousand","65.9"
"Population Estimates (Persons in April)","1955","75 - 79 years","Male","Thousand","32.3"
"Population Estimates (Persons in April)","1955","75 - 79 years","Female","Thousand","33.6"
"Population Estimates (Persons in April)","1955","80 - 84 years","Both sexes","Thousand","32.4"
"Population Estimates (Persons in April)","1955","80 - 84 years","Male","Thousand","15.2"
"Population Estimates (Persons in April)","1955","80 - 84 years","Female","Thousand","17.2"
"Population Estimates (Persons in April)","1955","85 years and over","Both sexes","Thousand","15.7"
"Population Estimates (Persons in April)","1955","85 years and over","Male","Thousand","6.9"
"Population Estimates (Persons in April)","1955","85 years and over","Female","Thousand","8.8"
"Population Estimates (Persons in April)","1955","All ages","Both sexes","Thousand","2920.9"
